Rank | Question ID | Score | Subject | Flagged
-----------------------------------------------------------------
    1 | 641e97e5659bf924f8e70824 | 0.950 | unknown     | True
    2 | 64159d17b80044071f4c9aba | 0.950 | mathematics | True
    3 | 64159d17b80044071f4c9abc | 0.950 | unknown     | True
    4 | 63da65f92eb3635281ce67ea | 0.950 | chemistry   | True
    5 | 6232c3e81f1d6050de01ef3a | 0.950 | chemistry   | True
    6 | 622b1899b70e4b50e44fba07 | 0.950 | physics     | True
    7 | 63627cc8fd766b24f252c059 | 0.950 | chemistry   | True
    8 | 6363de52fd766b24f252f806 | 0.950 | physics     | True
    9 | 636bc449fd766b24f25453de | 0.950 | physics     | True
   10 | 63a4a9161fa5e83cb0cd2faa | 0.950 | chemistry   | True
   11 | 63a9dfce72d2f374fb24203d | 0.950 | chemistry   | True
   12 | 61f2b50290a1a968a1690674 | 0.950 | unknown     | True
   13 | 63d3d0b093699c3c79e6ba1a | 0.950 | unknown     | True
   14 | 63d3e52d15a6383c80c548d4 | 0.950 | unknown     | True
   15 | 6228c4381f1d6050de00b7da | 0.950 | mathematics | True
   16 | 6229eff71f1d6050de00f7d2 | 0.950 | physics     | True
   17 | 622adedcb70e4b50e44fb774 | 0.950 | physics     | True
   18 | 66ba40d9f8b307395eba0aaf | 0.950 | chemistry   | True
   19 | 66e12975590ab0406bdd6363 | 0.950 | physics     | True
   20 | 66ddd6bd42257b1644886dda | 0.950 | chemistry   | True
   21 | 68c7f0861b1dbc16dc93a555 | 0.950 | unknown     | True
   22 | 68c80303fb6b2f16e2d3bb35 | 0.950 | unknown     | True
   23 | 68c80bd8fb6b2f16e2d3c413 | 0.950 | physics     | True
   24 | 68cd57fb6e572b03dc0cc929 | 0.950 | unknown     | True
   25 | 68cd57fd1bd98403d673cd61 | 0.950 | chemistry   | True
   26 | 68e871876e45ba37dcc1691e | 0.950 | unknown     | True
   27 | 68ecba5c2ec87a18deba1a4a | 0.950 | biology     | True
   28 | 6229ae401f1d6050de00f146 | 0.826 | physics     | True
   29 | 63624837fd766b24f252ad6f | 0.821 | physics     | True
   30 | 6229bacd1f1d6050de00f21c | 0.814 | physics     | True
   31 | 6458d850c2da61392244a429 | 0.805 | physics     | True
   32 | 68c6660e1b1dbc16dc932b5c | 0.793 | physics     | True
   33 | 68d929cb9b96e929d2420121 | 0.789 | mathematics | True
   34 | 6228cd49b70e4b50e44f59bf | 0.788 | physics     | True
   35 | 6228ba47b70e4b50e44f5729 | 0.778 | physics     | True
   36 | 622a1a36b70e4b50e44fae38 | 0.767 | physics     | True
   37 | 6236f9ab1f1d6050de026572 | 0.761 | physics     | True
   38 | 62581b0b847cf5396f992f2f | 0.760 | unknown     | True
   39 | 62b2c9c6536b0512e5ec421e | 0.753 | mathematics | True
   40 | 6259364e847cf5396f9acca3 | 0.750 | physics     | True
   41 | 62397b4eb70e4b50e45166c3 | 0.747 | physics     | True
   42 | 68c6acd6fb6b2f16e2d353f5 | 0.746 | physics     | True
   43 | 6232ffdd1f1d6050de01f9ff | 0.746 | unknown     | True
   44 | 623214c1b70e4b50e45094c3 | 0.746 | unknown     | True
   45 | 6229e7ad1f1d6050de00f792 | 0.746 | physics     | True
   46 | 622b2b7fb70e4b50e44fbd0f | 0.746 | physics     | True
   47 | 6229eff7b70e4b50e44fa481 | 0.742 | physics     | True
   48 | 622eebf2b70e4b50e45004d3 | 0.742 | physics     | True
   49 | 62b20585d0c02e12eb28e478 | 0.738 | unknown     | True
   50 | 6229adfbb70e4b50e44f9ee4 | 0.737 | physics     | True
   51 | 623969d21f1d6050de02b414 | 0.737 | physics     | True
   52 | 68c814c41b1dbc16dc93d357 | 0.734 | physics     | True
   53 | 622dee441f1d6050de0147a0 | 0.729 | unknown     | True
   54 | 622b1c05b70e4b50e44fbaa5 | 0.719 | physics     | True
   55 | 622e0317b70e4b50e44ffa55 | 0.715 | mathematics | True
   56 | 62b2b4a2d0c02e12eb290531 | 0.706 | mathematics | True
   57 | 622eed07b70e4b50e45004f5 | 0.705 | physics     | True
   58 | 622e08b41f1d6050de014aab | 0.699 | mathematics | True
   59 | 68c9b223fb6b2f16e2d43f29 | 0.699 | mathematics | True
   60 | 622cc8541f1d6050de012f51 | 0.695 | physics     | True
   61 | 68cd57c46e572b03dc0cc909 | 0.692 | physics     | True
   62 | 68c8003e1b1dbc16dc93bda2 | 0.691 | physics     | True
   63 | 622f7b4e1f1d6050de017265 | 0.688 | mathematics | True
   64 | 62318aad1f1d6050de01ce72 | 0.685 | unknown     | True
   65 | 64590fa7c2da61392244ade5 | 0.685 | unknown     | True
   66 | 6350f9dfff7e0721b93bcd32 | 0.685 | unknown     | True
   67 | 622c96081f1d6050de012ad7 | 0.684 | physics     | True
   68 | 5f73a1fa518b8a17aee7993a | 0.683 | physics     | True
   69 | 622913931f1d6050de00e303 | 0.683 | physics     | True
   70 | 6458d85071d621392879511e | 0.683 | physics     | True
   71 | 68c80c9bfb6b2f16e2d3c509 | 0.682 | unknown     | True
   72 | 62303e92b70e4b50e4503c00 | 0.676 | chemistry   | True
   73 | 68cd57d21bd98403d673cd49 | 0.675 | physics     | True
   74 | 68c80c9d1b1dbc16dc93ca94 | 0.673 | physics     | True
   75 | 6231a4c6b70e4b50e45089bf | 0.672 | unknown     | True
   76 | 6232fa071f1d6050de01f91d | 0.672 | chemistry   | True
   77 | 62307bb2b70e4b50e4505656 | 0.672 | chemistry   | True
   78 | 622f0b851f1d6050de0158bc | 0.672 | physics     | True
   79 | 6259364e847cf5396f9acc9f | 0.670 | unknown     | True
   80 | 636bb861fd766b24f2545229 | 0.669 | chemistry   | True
   81 | 622c4d4fb70e4b50e44fd0c8 | 0.668 | physics     | True
   82 | 627f2bc58c37401a946f6aae | 0.668 | physics     | True
   83 | 6259364e847cf5396f9acc9b | 0.668 | physics     | True
   84 | 622eebf21f1d6050de015535 | 0.666 | physics     | True
   85 | 604da55c2b9e5d041a56ee3c | 0.666 | mathematics | True
   86 | 62301de7b70e4b50e450357f | 0.665 | mathematics | True
   87 | 62b2b4a2536b0512e5ec2e64 | 0.665 | mathematics | True
   88 | 62b2070dd0c02e12eb28e49e | 0.665 | unknown     | True
   89 | 68c814bafb6b2f16e2d3ce2f | 0.663 | physics     | True
   90 | 622c96081f1d6050de012ad5 | 0.662 | mathematics | True
   91 | 6229c9ffb70e4b50e44fa0c4 | 0.661 | physics     | True
   92 | 6229270cb70e4b50e44f7fcc | 0.659 | unknown     | True
   93 | 6259364e847cf5396f9acc9d | 0.659 | unknown     | True
   94 | 622c4d4f1f1d6050de011f68 | 0.656 | physics     | True
   95 | 622c5dc91f1d6050de0120d2 | 0.656 | mathematics | True
   96 | 68c801d91b1dbc16dc93bf47 | 0.652 | physics     | True
   97 | 6228d108b70e4b50e44f5a10 | 0.651 | physics     | True
   98 | 622866371f1d6050de00a564 | 0.651 | physics     | True
   99 | 6378b708d701b56ae7863d66 | 0.651 | physics     | True
  100 | 62396365b70e4b50e4516296 | 0.651 | physics     | True
  101 | 68c66589fb6b2f16e2d32709 | 0.651 | physics     | True
  102 | 68c66608fb6b2f16e2d32798 | 0.651 | physics     | True
  103 | 68c666221b1dbc16dc932b6a | 0.651 | physics     | True
  104 | 68c80db91b1dbc16dc93cb50 | 0.651 | physics     | True
  105 | 6228d108b70e4b50e44f5a0e | 0.647 | physics     | True
  106 | 62316e8b1f1d6050de01c3bf | 0.646 | chemistry   | True
  107 | 622eebf2b70e4b50e45004d5 | 0.644 | mathematics | True
  108 | 63626e7cfd766b24f252b8ec | 0.644 | mathematics | True
  109 | 63c0079826da9a0bbb731068 | 0.644 | mathematics | True
  110 | 6228ace61f1d6050de00b4fe | 0.642 | physics     | True
  111 | 62b32659861cc33edb4071d4 | 0.641 | mathematics | True
  112 | 6228d462b70e4b50e44f6193 | 0.640 | physics     | True
  113 | 6229e2331f1d6050de00f66a | 0.640 | physics     | True
  114 | 622b2850b70e4b50e44fbae5 | 0.640 | physics     | True
  115 | 622f2f9d1f1d6050de015fbf | 0.635 | physics     | True
  116 | 62b2070d536b0512e5ec09b0 | 0.635 | unknown     | True
  117 | 68c66595fb6b2f16e2d3270f | 0.635 | unknown     | True
  118 | 68c7fff4fb6b2f16e2d3b7d8 | 0.635 | unknown     | True
  119 | 63b587ada4889141b73c00aa | 0.635 | chemistry   | True
  120 | 64590fa771d6213928795b40 | 0.634 | physics     | True
  121 | 68c80a611b1dbc16dc93c8bf | 0.632 | physics     | True
  122 | 622f01581f1d6050de015750 | 0.630 | physics     | True
  123 | 68c80bb81b1dbc16dc93c9c3 | 0.630 | chemistry   | True
  124 | 623318a41f1d6050de01fc89 | 0.630 | chemistry   | True
  125 | 68cd57d46e572b03dc0cc913 | 0.629 | physics     | True
  126 | 607bdadfc9a60b3bd0e36788 | 0.628 | physics     | True
  127 | 625d909d91b8a8717d5187fe | 0.628 | physics     | True
  128 | 62b30a8ad0c02e12eb296c97 | 0.626 | mathematics | True
  129 | 63b42ab3ee1b3841be12734f | 0.626 | physics     | True
  130 | 6229270cb70e4b50e44f7fce | 0.624 | unknown     | True
  131 | 6231dcaeb70e4b50e4509091 | 0.623 | chemistry   | True
  132 | 622bae7cb70e4b50e44fcd38 | 0.622 | physics     | True
  133 | 608d76078af4ca306af13dbf | 0.622 | mathematics | True
  134 | 622c98f11f1d6050de012b2a | 0.622 | physics     | True
  135 | 62581f17847cf5396f993bcb | 0.622 | physics     | True
  136 | 68c814c0fb6b2f16e2d3ce33 | 0.622 | physics     | True
  137 | 6367957afd766b24f253935c | 0.621 | physics     | True
  138 | 695edbf723cb221e571046d5 | 0.618 | physics     | True
  139 | 695edc8f88d7701e561aa7fb | 0.618 | physics     | True
  140 | 695edd2b23cb221e5710483e | 0.618 | physics     | True
  141 | 695eddd288d7701e561aa981 | 0.618 | physics     | True
  142 | 625d919991b8a8717d5188cb | 0.616 | physics     | True
  143 | 6367944cfd766b24f253929c | 0.611 | physics     | True
  144 | 623967db1f1d6050de02b3a4 | 0.609 | physics     | True
  145 | 68c81433fb6b2f16e2d3cd90 | 0.608 | physics     | True
  146 | 68c814bdfb6b2f16e2d3ce31 | 0.608 | unknown     | True
  147 | 68c80cd0fb6b2f16e2d3c52d | 0.606 | physics     | True
  148 | 622c7380b70e4b50e44fd6d2 | 0.605 | physics     | True
  149 | 622f0265b70e4b50e4500924 | 0.605 | physics     | True
  150 | 68c814be1b1dbc16dc93d351 | 0.605 | physics     | True
  151 | 68cd57cc6e572b03dc0cc90d | 0.601 | physics     | True
  152 | 62399cc41f1d6050de02bfa3 | 0.600 | unknown     | True
  153 | 6256c72fb909bf2b076dfc1c | 0.600 | unknown     | True
  154 | 622cc30bb70e4b50e44fdffe | 0.599 | physics     | True
  155 | 638b12c069de6d17e4217368 | 0.599 | physics     | True
  156 | 6229dd7b1f1d6050de00f533 | 0.598 | physics     | True
  157 | 6380a8bc9357a06f7e322aa5 | 0.597 | physics     | True
  158 | 623363c71f1d6050de02090b | 0.595 | unknown     | True
  159 | 63611912a89d3b30b878941c | 0.595 | unknown     | True
  160 | 63626c96fd766b24f252b895 | 0.595 | unknown     | True
  161 | 63a0a7f46873ea1f328adf10 | 0.595 | unknown     | True
  162 | 622de9181f1d6050de014710 | 0.595 | unknown     | True
  163 | 636fb952ec75cd488fa75878 | 0.595 | unknown     | True
  164 | 68c800951b1dbc16dc93bdfd | 0.595 | unknown     | True
  165 | 62542315e9258165dd1fdda9 | 0.594 | mathematics | True
  166 | 641eabaa0b756526070e1b79 | 0.594 | mathematics | True
  167 | 604da55c2b9e5d041a56ee3d | 0.594 | mathematics | True
  168 | 63e78dd88a90e86dacae5e11 | 0.593 | physics     | True
  169 | 622f0d661f1d6050de0158e4 | 0.593 | physics     | True
  170 | 645a008dc2da61392244ceb2 | 0.592 | physics     | True
  171 | 625c689085dc5c71772628a6 | 0.590 | physics     | True
  172 | 68d4c677de05c26890372e42 | 0.590 | physics     | True
  173 | 63b41a38a4889141b73b47ca | 0.588 | unknown     | True
  174 | 6458d85071d621392879511c | 0.584 | physics     | True
  175 | 645a0eecc2da61392244d0b4 | 0.584 | physics     | True
  176 | 622ee853b70e4b50e4500453 | 0.581 | physics     | True
  177 | 62b32f5a861cc33edb407626 | 0.579 | mathematics | True
  178 | 622d143c1f1d6050de0137f4 | 0.578 | physics     | True
  179 | 6228cd49b70e4b50e44f59bd | 0.578 | physics     | True
  180 | 6228cd491f1d6050de00b8f9 | 0.578 | physics     | True
  181 | 6229e7aeb70e4b50e44fa44a | 0.578 | physics     | True
  182 | 622aea901f1d6050de010854 | 0.578 | physics     | True
  183 | 6367968ffd766b24f25393f7 | 0.578 | physics     | True
  184 | 63766274f1d8416ae0409071 | 0.578 | physics     | True
  185 | 6378b695f1d8416ae040efc8 | 0.578 | physics     | True
  186 | 63a1a48b7f7e851f384e3fdb | 0.578 | physics     | True
  187 | 63a1a48b6873ea1f328b2267 | 0.578 | physics     | True
  188 | 62289e801f1d6050de00b2d1 | 0.578 | physics     | True
  189 | 622d213f1f1d6050de0139f0 | 0.578 | physics     | True
  190 | 6239602db70e4b50e4515e30 | 0.578 | physics     | True
  191 | 625d8f4c85dc5c71772656f9 | 0.578 | physics     | True
  192 | 68c6661e1b1dbc16dc932b68 | 0.578 | physics     | True
  193 | 68c6addffb6b2f16e2d35612 | 0.578 | physics     | True
  194 | 68c814c3fb6b2f16e2d3ce35 | 0.578 | physics     | True
  195 | 622c9608b70e4b50e44fdc18 | 0.575 | unknown     | True
  196 | 622c98f2b70e4b50e44fdc4a | 0.575 | unknown     | True
  197 | 636280eafd766b24f252c151 | 0.573 | physics     | True
  198 | 622f3f81b70e4b50e45015bf | 0.573 | mathematics | True
  199 | 636247cffd766b24f252ad64 | 0.573 | physics     | True
